epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.4554,1.55907,2.33117,1.57515,0.54513,0.19746,0.22573,0.14638,1.62105,2.33193,1.63499,2.023e-05,2.023e-05,2.023e-05
2,169.829,1.63114,2.11858,1.63247,0.82286,0.16506,0.19926,0.12391,1.63861,2.28341,1.6249,3.89011e-05,3.89011e-05,3.89011e-05
3,253.248,1.52442,1.89243,1.52397,0.82562,0.18808,0.19911,0.11679,1.65434,2.2451,1.61718,5.47448e-05,5.47448e-05,5.47448e-05
4,336.364,1.45026,1.76373,1.47597,0.81712,0.19075,0.20604,0.12473,1.62454,2.18459,1.58363,6.7761e-05,6.7761e-05,6.7761e-05
5,421.672,1.47707,1.75301,1.52011,0.81385,0.17868,0.21439,0.13066,1.61084,2.11509,1.56093,7.79498e-05,7.79498e-05,7.79498e-05
6,506.772,1.46661,1.85509,1.45495,0.81191,0.16656,0.21297,0.12033,1.58404,2.05786,1.52692,7.973e-05,7.973e-05,7.973e-05
