epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1946.52,1.60395,2.30392,1.51056,0.48959,0.3068,0.31554,0.20246,1.63696,1.96122,1.46995,3.95733e-05,3.95733e-05,3.95733e-05
2,3875.32,1.52516,2.13304,1.45468,0.52554,0.30258,0.32545,0.21097,1.5906,1.92965,1.44881,7.40102e-05,7.40102e-05,7.40102e-05
3,5789.48,1.50586,2.07463,1.4377,0.48424,0.31233,0.33222,0.21153,1.60258,1.9219,1.44238,0.000103211,0.000103211,0.000103211
4,7710.68,1.48401,2.06056,1.4284,0.52229,0.29909,0.33197,0.21112,1.60763,1.93521,1.45411,9.5438e-05,9.5438e-05,9.5438e-05
5,9593.37,1.47129,1.98455,1.41369,0.49825,0.31737,0.32896,0.21307,1.57316,1.88275,1.42455,8.7584e-05,8.7584e-05,8.7584e-05
6,11497.7,1.54663,2.0272,1.45918,0.4656,0.30984,0.33534,0.21719,1.58775,1.9203,1.43603,7.973e-05,7.973e-05,7.973e-05
7,13419.1,1.50109,1.91449,1.43972,0.54485,0.3001,0.33357,0.21736,1.57641,1.88875,1.43322,7.1876e-05,7.1876e-05,7.1876e-05
